,0
1607,797
1608,147
1609,439
1610,360
1611,748
1612,000
1613,000
1614,000
1615,472
1616,256
1617,604
1618,958
1619,130
1620,000
1621,000
1622,000
1623,55557
1624,1
1625,12431
1626,40
1627,212
1628,460
1629,066
1630,731
1631,570
1632,36
1633,816
1634,699
1635,1
1636,364
1637,047
1638,221
1639,600
1640,2138
1641,3117
1642,2144
1643,4597
1644,75
1645,505
1646,117
1647,105
1648,832
1649,375
1650,085
1651,824
1652,130
1653,000
1654,000
1655,000
1656,000
1657,000
1658,442
1659,232
1660,249
1661,790
1662,64216
1663,141170
1664,0
1665,2064
1666,1
1667,499
1668,10
1669,921
1670,742
1671,951
1672,820
1673,567
1674,332
1675,050
1676,191
1677,254
1678,2518
1679,158
1680,735
1681,1
1682,5365
1683,105
1684,671
1685,479
1686,546
1687,65
1688,614
1689,281
1690,381
1691,157
1692,449
1693,10478
1694,48012
1695,27
1696,1142
1697,136
1698,319
1699,4554
1700,3263
1701,1
1702,357
1703,664
1704,535
1705,488
1706,610
1707,920
1708,71
1709,748
1710,31
1711,185
1712,615
1713,372
1714,151
1715,7
1716,202
1717,492
1718,1314
1719,718
1720,840
1721,620
1722,251
1723,579
1724,0
1725,953
1726,720
1727,144
1728,411
1729,700
1730,000
1731,000
1732,000
1733,918
1734,232
1735,955
1736,3491
1737,6963
1738,20077
1739,5155
1740,4646
1741,735
1742,1
1743,361
1744,010
1745,698
1746,443
1747,13755
1748,1409
1749,12704
1750,742
1751,16995
1752,17000
1753,1194
1754,420
1755,012
1756,046
1757,121
1758,385
1759,915
1760,385
1761,0
1762,0
1763,64
1764,286
1765,667
1766,312
1767,032
1768,000
1769,34
1770,853
1771,245958
1772,161
1773,176008
1774,56
1775,88
